"idkelas";"idmk";"namakelas"
197784;"20610020";"Mlm A"
197780;"23620481";"Mlm B"
197823;"23620481";"B"
197782;"23620501";"Mlm A"
197778;"23620481";"Mlm A"
197813;"23620441";"A"
197779;"23610031";"Mlm A"
197781;"23610031";"Mlm B"
197927;"23620501";"B"
197924;"23620471";"C"
197916;"23620481";"C"
197920;"23620441";"C"
197824;"23620441";"B"
197922;"23620501";"C"
197822;"23620471";"B"
197789;"23620491";"Mlm B"
197820;"23620491";"B"
197790;"23620511";"Mlm A"
197791;"23620511";"Mlm B"
197928;"20610020";"C"
197919;"23620451";"C"
197918;"23610031";"C"
197925;"23620511";"C"
197923;"23620491";"C"
197941;"23520361";"KHS"
197795;"23620471";"Mlm B"
197794;"23620471";"Mlm A"
197792;"23620441";"Mlm A"
197814;"23620451";"A"
197815;"23620491";"A"
197816;"23630019";"A"
197817;"23630019";"Mlm A"
197821;"23610031";"B"
197807;"20610020";"A"
197808;"23620511";"A"
197809;"23620481";"A"
197810;"23610031";"A"
197811;"23620501";"A"
197825;"23630019";"Malam"
197959;"23520371";"KHS"
197957;"23520421";"KHS"
197960;"23520381";"KHS"
197788;"23620491";"Mlm A"
197783;"23620501";"Mlm B"
197785;"20610020";"Mlm B"
197786;"23620451";"Mlm A"
197787;"23620451";"Mlm B"
197793;"23620441";"Mlm B"
197796;"23630019";"Mlm"
197812;"23620471";"A"
197818;"23620451";"B"
197819;"23620511";"B"
