"idmk";"namamk";"sksmk"
"23520381";"PRAK. PEMROG. BERORIENTASI OBJEK";1
"23620469";"KERJA PRAKTEK & SEMINAR";2
"23520411";"PRAK. JARINGAN KOMPUTER I";1
"23520431";"PRAK. PEMROGRAMAN VISUAL";1
"23620451";"PRAK. MOBILE COMPUTING";1
"23630019";"KERJA PRAKTEK & SEMINAR";2
"23610021";"PRAKTIKUM BASIS DATA LANJUT";2
"23610031";"PRAK PEMROGRAMAN VISUAL LANJUTAN";1
"23620501";"KOMPUTER DAN MASYARAKAT";2
"23620511";"PRAKTIKUM BASIS DATA LANJUT";1
"23620491";"INTELIGENSI BUATAN";3
"23520361";"METODE NUMERIK";2
"23520371";"PEMROGRAMAN BERORIENTASI OBJEK";2
"23520391";"ANALISA & DISAIN SI ENTERPRISE";3
"23520401";"JARINGAN KOMPUTER I";2
"23520421";"PEMROGRAMAN VISUAL";2
"23620441";"MOBILE COMPUTING";2
"23620471";"BASIS DATA LANJUT";2
"23620481";"PEMROGRAMAN VISUAL LANJUTAN";2
